video,video_frame,global_frame,track_id,logical_track_id,cls_id,class_name,detected_cls_id,voted_cls_id,direction,delta,count_after,center_x,center_y,conf,stitched,stitch_gap_frames,event_reason,recovery_mode,occupancy_token_id,recovered_from_logical_id,recovery_score,recovery_track_class_id,recovery_class_match
output.mp4,23613,23613,328,131,0,Bactrocera dorsalis,0,0,enter,1,6,1312.26,728.77,0.9365,0,0,tracked_enter,,24,,,,
output.mp4,24215,24215,387,151,0,Bactrocera dorsalis,0,0,enter,1,7,1313.92,744.54,0.9277,0,0,tracked_enter,,25,,,,
output.mp4,24236,24236,429,167,0,Bactrocera dorsalis,0,0,enter,1,8,1303.01,675.78,0.9414,0,0,tracked_enter,,26,,,,
output.mp4,24527,24527,439,170,0,Bactrocera dorsalis,0,0,enter,1,9,1306.33,758.93,0.9346,0,0,tracked_enter,,27,,,,
output.mp4,24598,24598,439,170,0,Bactrocera dorsalis,0,0,exit,-1,8,1047.11,821.43,0.939,0,0,tracked_exit,,27,170,,,
output.mp4,24659,24659,439,170,0,Bactrocera dorsalis,0,0,enter,1,9,1058.11,677.5,0.9067,0,0,tracked_enter,,28,,,,
output.mp4,25473,25473,463,178,0,Bactrocera dorsalis,0,0,enter,1,10,1205.82,592.65,0.9302,0,0,tracked_enter,,29,,,,
output.mp4,25566,25566,463,178,0,Bactrocera dorsalis,0,0,exit,-1,9,1291.62,852.01,0.939,0,0,tracked_exit,,29,178,,,
output.mp4,25653,25653,453,173,0,Bactrocera dorsalis,0,0,enter,1,10,1269.06,619.68,0.9468,0,0,tracked_enter,,30,,,,
output.mp4,27454,27454,517,203,0,Bactrocera dorsalis,0,0,enter,1,11,1310.66,699.38,0.9424,0,0,tracked_enter,,31,,,,
output.mp4,27477,27477,517,203,0,Bactrocera dorsalis,0,0,exit,-1,10,1170.53,893.25,0.9492,0,0,tracked_exit,,31,203,,,
output.mp4,28318,28318,541,215,0,Bactrocera dorsalis,0,0,enter,1,11,1284.0,813.45,0.9292,0,0,tracked_enter,,32,,,,
output.mp4,28384,28384,541,215,0,Bactrocera dorsalis,0,0,exit,-1,10,1092.47,582.4,0.9277,0,0,tracked_exit,,32,215,,,
output.mp4,28797,28797,566,224,0,Bactrocera dorsalis,0,0,enter,1,11,1176.32,853.84,0.9253,0,0,tracked_enter,,33,,,,
