video,video_frame,global_frame,track_id,cls_id,class_name,direction,delta,count_after,center_x,center_y,conf
16-20-44.mp4_fixed.mp4,145729,145729,1203,0,Bactrocera dorsalis,exit,-1,76,1076.31,619.52,0.9111
16-20-44.mp4_fixed.mp4,145730,145730,1203,0,Bactrocera dorsalis,enter,1,77,1076.86,619.78,0.9097
16-20-44.mp4_fixed.mp4,146563,146563,1211,0,Bactrocera dorsalis,enter,1,78,1287.8,822.72,0.9131
16-20-44.mp4_fixed.mp4,146892,146892,1210,0,Bactrocera dorsalis,enter,1,79,1270.84,604.04,0.9419
16-20-44.mp4_fixed.mp4,147103,147103,1203,0,Bactrocera dorsalis,exit,-1,78,1036.43,694.41,0.7104
16-20-44.mp4_fixed.mp4,147124,147124,1203,0,Bactrocera dorsalis,enter,1,79,1037.39,694.6,0.9141
16-20-44.mp4_fixed.mp4,147155,147155,1203,0,Bactrocera dorsalis,exit,-1,78,1036.54,695.01,0.9116
16-20-44.mp4_fixed.mp4,147156,147156,1203,0,Bactrocera dorsalis,enter,1,79,1036.98,695.16,0.9058
16-20-44.mp4_fixed.mp4,147167,147167,1203,0,Bactrocera dorsalis,exit,-1,78,1036.49,695.48,0.8887
16-20-44.mp4_fixed.mp4,147175,147175,1203,0,Bactrocera dorsalis,enter,1,79,1036.79,695.39,0.895
16-20-44.mp4_fixed.mp4,147186,147186,1203,0,Bactrocera dorsalis,exit,-1,78,1036.56,695.25,0.9014
16-20-44.mp4_fixed.mp4,147188,147188,1203,0,Bactrocera dorsalis,enter,1,79,1037.06,695.19,0.8984
16-20-44.mp4_fixed.mp4,147217,147217,1203,0,Bactrocera dorsalis,exit,-1,78,1036.79,695.1,0.8965
16-20-44.mp4_fixed.mp4,147221,147221,1203,0,Bactrocera dorsalis,enter,1,79,1037.09,695.02,0.9019
16-20-44.mp4_fixed.mp4,147226,147226,1203,0,Bactrocera dorsalis,exit,-1,78,1036.56,696.25,0.8989
16-20-44.mp4_fixed.mp4,147229,147229,1203,0,Bactrocera dorsalis,enter,1,79,1036.63,696.95,0.8931
16-20-44.mp4_fixed.mp4,147230,147230,1203,0,Bactrocera dorsalis,exit,-1,78,1036.14,696.92,0.8975
16-20-44.mp4_fixed.mp4,147357,147357,1219,0,Bactrocera dorsalis,enter,1,79,1115.14,856.44,0.9541
16-20-44.mp4_fixed.mp4,147399,147399,1203,0,Bactrocera dorsalis,enter,1,80,1135.6,585.26,0.9263
16-20-44.mp4_fixed.mp4,148307,148307,1203,0,Bactrocera dorsalis,exit,-1,79,1224.32,577.66,0.9375
16-20-44.mp4_fixed.mp4,148353,148353,1203,0,Bactrocera dorsalis,enter,1,80,1171.99,575.03,0.9385
16-20-44.mp4_fixed.mp4,148520,148520,1203,0,Bactrocera dorsalis,exit,-1,79,1328.62,764.72,0.9521
16-20-44.mp4_fixed.mp4,150115,150115,1228,0,Bactrocera dorsalis,enter,1,80,1159.13,870.58,0.9453
16-20-44.mp4_fixed.mp4,150180,150180,1228,0,Bactrocera dorsalis,exit,-1,79,1204.18,873.34,0.9175
