video,video_frame,global_frame,track_id,logical_track_id,cls_id,class_name,detected_cls_id,voted_cls_id,direction,delta,count_after,center_x,center_y,conf,stitched,stitch_gap_frames,event_reason,occupancy_token_id,recovered_from_logical_id,recovery_score,recovery_track_class_id,recovery_class_match
08-41-24.mp4,31932,31932,3291,493,1,Bactrocera dorsalis,1,1,enter,1,3,1227.59,597.15,0.8833,0,0,tracked_enter,23,,,,
08-41-24.mp4,32099,32099,3291,493,1,Bactrocera dorsalis,1,1,exit,-1,2,1026.13,675.06,0.8696,0,0,tracked_exit,23,493,,,
08-41-24.mp4,33373,33373,3301,495,1,Bactrocera dorsalis,1,1,enter,1,3,1091.3,625.9,0.8696,0,0,tracked_enter,24,,,,
08-41-24.mp4,37686,37686,3849,603,0,Bactrocera correcta,0,0,exit,-1,2,1195.14,896.79,0.874,0,0,recovered_exit,22,504,0.8859631051590189,0,1
08-41-24.mp4,37985,37985,3849,603,0,Bactrocera correcta,0,0,enter,1,3,1226.21,595.96,0.873,0,0,tracked_enter,25,,,,
08-41-24.mp4,38008,38008,3849,603,0,Bactrocera correcta,0,0,exit,-1,2,1140.53,563.84,0.8706,0,0,tracked_exit,25,603,,,
08-41-24.mp4,38193,38193,3849,603,0,Bactrocera correcta,0,0,enter,1,3,1050.1,714.87,0.8599,0,0,tracked_enter,26,,,,
08-41-24.mp4,38406,38406,3849,603,0,Bactrocera correcta,0,0,exit,-1,2,1018.41,722.93,0.874,0,0,tracked_exit,26,603,,,
08-41-24.mp4,38449,38449,3849,603,0,Bactrocera correcta,0,0,enter,1,3,1091.54,626.08,0.8843,0,0,tracked_enter,27,,,,
08-41-24.mp4,38477,38477,3849,603,0,Bactrocera correcta,0,0,exit,-1,2,1159.62,558.83,0.8848,0,0,tracked_exit,27,603,,,
08-41-24.mp4,41076,41076,4089,661,1,Bactrocera dorsalis,1,1,enter,1,4,1267.07,617.66,0.8608,0,0,tracked_enter,28,,,,
